ID,productCode,materialCode,quantityPerUnit
90000000-0000-4000-8000-000000000001,BC-100,PAP-130,0.0020
90000000-0000-4000-8000-000000000002,BC-100,INK-CMYK,0.0005
90000000-0000-4000-8000-000000000003,FL-200,PAP-130,0.0030
90000000-0000-4000-8000-000000000004,FL-200,INK-CMYK,0.0008
90000000-0000-4000-8000-000000000005,BR-300,PAP-300,0.0200
90000000-0000-4000-8000-000000000006,BR-300,INK-CMYK,0.0020
90000000-0000-4000-8000-000000000007,PO-400,PAP-300,0.5000
90000000-0000-4000-8000-000000000008,PO-400,INK-CMYK,0.0100
90000000-0000-4000-8000-000000000009,BN-500,VNL-STD,1.0000
90000000-0000-4000-8000-000000000010,ST-600,PVC-FLM,0.0010
90000000-0000-4000-8000-000000000011,ST-600,INK-CMYK,0.0003
90000000-0000-4000-8000-000000000012,LB-700,PVC-FLM,0.0005
90000000-0000-4000-8000-000000000013,CT-800,PAP-130,0.0500
90000000-0000-4000-8000-000000000014,CT-800,LAM-GLS,0.0500
90000000-0000-4000-8000-000000000015,CT-800,INK-CMYK,0.0050
