ID,parent_ID,product_ID,quantity,unitPrice,finishingOptions,lineTotal
70000000-0000-4000-8000-000000000011,60000000-0000-4000-8000-000000000001,20000000-0000-4000-8000-000000000001,500,0.15,Matte,75.0
70000000-0000-4000-8000-000000000021,60000000-0000-4000-8000-000000000002,20000000-0000-4000-8000-000000000002,1000,0.2,Gloss,200.0
70000000-0000-4000-8000-000000000031,60000000-0000-4000-8000-000000000003,20000000-0000-4000-8000-000000000006,300,0.35,,105.0
70000000-0000-4000-8000-000000000041,60000000-0000-4000-8000-000000000004,20000000-0000-4000-8000-000000000003,200,0.6,Tri-fold,120.0
70000000-0000-4000-8000-000000000051,60000000-0000-4000-8000-000000000005,20000000-0000-4000-8000-000000000004,20,4.5,,90.0
70000000-0000-4000-8000-000000000061,60000000-0000-4000-8000-000000000006,20000000-0000-4000-8000-000000000007,2000,0.08,,160.0
70000000-0000-4000-8000-000000000071,60000000-0000-4000-8000-000000000007,20000000-0000-4000-8000-000000000001,1000,0.15,Gloss,150.0
70000000-0000-4000-8000-000000000072,60000000-0000-4000-8000-000000000007,20000000-0000-4000-8000-000000000008,50,3.2,,160.0
70000000-0000-4000-8000-000000000081,60000000-0000-4000-8000-000000000008,20000000-0000-4000-8000-000000000005,8,12.0,,96.0
70000000-0000-4000-8000-000000000091,60000000-0000-4000-8000-000000000009,20000000-0000-4000-8000-000000000002,500,0.2,,100.0
70000000-0000-4000-8000-000000000101,60000000-0000-4000-8000-000000000010,20000000-0000-4000-8000-000000000006,800,0.35,,280.0
70000000-0000-4000-8000-000000000111,60000000-0000-4000-8000-000000000011,20000000-0000-4000-8000-000000000004,15,4.5,,67.5
70000000-0000-4000-8000-000000000121,60000000-0000-4000-8000-000000000012,20000000-0000-4000-8000-000000000003,300,0.6,Bi-fold,180.0
70000000-0000-4000-8000-000000000131,60000000-0000-4000-8000-000000000013,20000000-0000-4000-8000-000000000001,750,0.15,Matte,112.5
70000000-0000-4000-8000-000000000141,60000000-0000-4000-8000-000000000014,20000000-0000-4000-8000-000000000005,5,12.0,,60.0
70000000-0000-4000-8000-000000000151,60000000-0000-4000-8000-000000000015,20000000-0000-4000-8000-000000000008,100,3.2,,320.0
70000000-0000-4000-8000-000000000161,60000000-0000-4000-8000-000000000016,20000000-0000-4000-8000-000000000006,1200,0.35,,420.0
70000000-0000-4000-8000-000000000171,60000000-0000-4000-8000-000000000017,20000000-0000-4000-8000-000000000001,300,0.15,Gloss,45.0
70000000-0000-4000-8000-000000000181,60000000-0000-4000-8000-000000000018,20000000-0000-4000-8000-000000000002,600,0.2,,120.0
70000000-0000-4000-8000-000000000191,60000000-0000-4000-8000-000000000019,20000000-0000-4000-8000-000000000007,1500,0.08,,120.0
70000000-0000-4000-8000-000000000201,60000000-0000-4000-8000-000000000020,20000000-0000-4000-8000-000000000003,100,0.6,,60.0
