ID,parent_ID,status,plannedStart,plannedEnd,actualStart,actualEnd,estimatedCompletion
80000000-0000-4000-8000-000000000001,60000000-0000-4000-8000-000000000007,PLANNED,2026-09-08T08:00:00Z,2026-09-10T17:00:00Z,,,2026-09-10T17:00:00Z
80000000-0000-4000-8000-000000000002,60000000-0000-4000-8000-000000000008,PLANNED,2026-08-09T08:00:00Z,2026-08-11T17:00:00Z,,,2026-08-11T17:00:00Z
80000000-0000-4000-8000-000000000003,60000000-0000-4000-8000-000000000009,PLANNED,2026-09-10T08:00:00Z,2026-09-12T17:00:00Z,,,2026-09-12T17:00:00Z
80000000-0000-4000-8000-000000000004,60000000-0000-4000-8000-000000000010,PLANNED,2026-08-11T08:00:00Z,2026-08-13T17:00:00Z,,,2026-08-13T17:00:00Z
80000000-0000-4000-8000-000000000005,60000000-0000-4000-8000-000000000011,IN_PROGRESS,2026-09-12T08:00:00Z,2026-09-14T17:00:00Z,2026-09-12T08:00:00Z,,2026-09-14T17:00:00Z
80000000-0000-4000-8000-000000000006,60000000-0000-4000-8000-000000000012,IN_PROGRESS,2026-08-13T08:00:00Z,2026-08-15T17:00:00Z,2026-08-13T08:00:00Z,,2026-08-15T17:00:00Z
80000000-0000-4000-8000-000000000007,60000000-0000-4000-8000-000000000013,IN_PROGRESS,2026-09-14T08:00:00Z,2026-09-16T17:00:00Z,2026-09-14T08:00:00Z,,2026-09-16T17:00:00Z
80000000-0000-4000-8000-000000000008,60000000-0000-4000-8000-000000000014,IN_PROGRESS,2026-08-15T08:00:00Z,2026-08-17T17:00:00Z,2026-08-15T08:00:00Z,,2026-08-17T17:00:00Z
80000000-0000-4000-8000-000000000009,60000000-0000-4000-8000-000000000015,COMPLETED,2026-09-16T08:00:00Z,2026-09-18T17:00:00Z,2026-09-16T08:00:00Z,2026-09-18T17:00:00Z,2026-09-18T17:00:00Z
80000000-0000-4000-8000-000000000010,60000000-0000-4000-8000-000000000016,COMPLETED,2026-08-17T08:00:00Z,2026-08-19T17:00:00Z,2026-08-17T08:00:00Z,2026-08-19T17:00:00Z,2026-08-19T17:00:00Z
80000000-0000-4000-8000-000000000011,60000000-0000-4000-8000-000000000017,COMPLETED,2026-09-18T08:00:00Z,2026-09-20T17:00:00Z,2026-09-18T08:00:00Z,2026-09-20T17:00:00Z,2026-09-20T17:00:00Z
80000000-0000-4000-8000-000000000012,60000000-0000-4000-8000-000000000018,COMPLETED,2026-08-19T08:00:00Z,2026-08-21T17:00:00Z,2026-08-19T08:00:00Z,2026-08-21T17:00:00Z,2026-08-21T17:00:00Z
80000000-0000-4000-8000-000000000013,60000000-0000-4000-8000-000000000019,COMPLETED,2026-09-20T08:00:00Z,2026-09-22T17:00:00Z,2026-09-20T08:00:00Z,2026-09-22T17:00:00Z,2026-09-22T17:00:00Z
