ID,orderNo,customer_ID,status,urgencyLevel,discountPercent,requestedDeliveryDate,totalAmount,paidAmount,paymentStatus,createdAt
60000000-0000-4000-8000-000000000001,SO-1001,10000000-0000-4000-8000-000000000001,DRAFT,STANDARD,0,2026-09-20,75.0,0,UNPAID,2026-09-01
60000000-0000-4000-8000-000000000002,SO-1002,10000000-0000-4000-8000-000000000002,DRAFT,EXPRESS,5,2026-09-15,190.0,0,UNPAID,2026-09-02
60000000-0000-4000-8000-000000000003,SO-1003,10000000-0000-4000-8000-000000000003,DRAFT,STANDARD,0,2026-09-25,105.0,0,UNPAID,2026-09-03
60000000-0000-4000-8000-000000000004,SO-1004,10000000-0000-4000-8000-000000000004,SUBMITTED,STANDARD,0,2026-09-18,120.0,0,UNPAID,2026-08-28
60000000-0000-4000-8000-000000000005,SO-1005,10000000-0000-4000-8000-000000000005,SUBMITTED,URGENT,0,2026-09-10,90.0,0,UNPAID,2026-08-30
60000000-0000-4000-8000-000000000006,SO-1006,10000000-0000-4000-8000-000000000006,SUBMITTED,STANDARD,10,2026-09-22,144.0,0,UNPAID,2026-08-31
60000000-0000-4000-8000-000000000007,SO-1007,10000000-0000-4000-8000-000000000001,CONFIRMED,STANDARD,0,2026-09-12,310.0,150,PARTIALLY_PAID,2026-08-20
60000000-0000-4000-8000-000000000008,SO-1008,10000000-0000-4000-8000-000000000002,CONFIRMED,EXPRESS,0,2026-09-08,96.0,0,UNPAID,2026-08-22
60000000-0000-4000-8000-000000000009,SO-1009,10000000-0000-4000-8000-000000000007,CONFIRMED,STANDARD,5,2026-09-14,95.0,0,UNPAID,2026-08-24
60000000-0000-4000-8000-000000000010,SO-1010,10000000-0000-4000-8000-000000000003,CONFIRMED,STANDARD,0,2026-09-19,280.0,100,PARTIALLY_PAID,2026-08-25
60000000-0000-4000-8000-000000000011,SO-1011,10000000-0000-4000-8000-000000000004,IN_PRODUCTION,URGENT,0,2026-09-06,67.5,40,PARTIALLY_PAID,2026-08-15
60000000-0000-4000-8000-000000000012,SO-1012,10000000-0000-4000-8000-000000000005,IN_PRODUCTION,STANDARD,0,2026-09-11,180.0,180.0,PAID,2026-08-16
60000000-0000-4000-8000-000000000013,SO-1013,10000000-0000-4000-8000-000000000008,IN_PRODUCTION,STANDARD,0,2026-09-09,112.5,0,UNPAID,2026-08-18
60000000-0000-4000-8000-000000000014,SO-1014,10000000-0000-4000-8000-000000000006,IN_PRODUCTION,EXPRESS,0,2026-09-07,60.0,25,PARTIALLY_PAID,2026-08-19
60000000-0000-4000-8000-000000000015,SO-1015,10000000-0000-4000-8000-000000000001,READY,STANDARD,0,2026-09-05,320.0,320.0,PAID,2026-08-10
60000000-0000-4000-8000-000000000016,SO-1016,10000000-0000-4000-8000-000000000002,READY,STANDARD,0,2026-09-04,420.0,420.0,PAID,2026-08-11
60000000-0000-4000-8000-000000000017,SO-1017,10000000-0000-4000-8000-000000000003,DELIVERED,STANDARD,0,2026-08-25,45.0,45.0,PAID,2026-08-01
60000000-0000-4000-8000-000000000018,SO-1018,10000000-0000-4000-8000-000000000004,DELIVERED,STANDARD,0,2026-08-20,120.0,120.0,PAID,2026-07-28
60000000-0000-4000-8000-000000000019,SO-1019,10000000-0000-4000-8000-000000000007,DELIVERED,EXPRESS,0,2026-08-18,120.0,120.0,PAID,2026-07-30
60000000-0000-4000-8000-000000000020,SO-1020,10000000-0000-4000-8000-000000000008,CANCELLED,STANDARD,0,2026-09-16,60.0,0,UNPAID,2026-08-27
